year,skills,newCodeA,tenure,type,group,weight,A1age,A1age2,A1age3,A1cons
1995,2,8,0,1,3,525.9476,-.0198038,.0004386,-3.36e-06,.3340215
1995,2,8,1,1,3,411.6013,-.0073742,.0001317,-9.23e-07,.1730381
1995,2,8,2,1,3,256.2014,-.0196483,.0004862,-4.07e-06,.3007216
1995,2,8,3,1,3,348.3471,.0110622,-.0002673,1.90e-06,-.1019129
1995,2,8,4,1,3,289.2253,-.0246621,.0004876,-3.31e-06,.4424681
1995,2,8,5,1,3,1293.129,.0050182,-.0000992,5.04e-07,-.0405579
1995,2,8,0,2,4,3283.052,-.0061098,.0001115,-8.40e-07,.1502065
1995,2,8,1,2,4,3179.399,-.0171419,.0003677,-2.73e-06,.299932
1995,2,8,2,2,4,2761.799,-.0040326,.0001305,-1.37e-06,.0734564
1995,2,8,3,2,4,3585.653,-.0061956,.0001621,-1.48e-06,.115029
1995,2,8,4,2,4,1857.775,-.0265962,.0005471,-3.82e-06,.4569082
1995,2,8,5,2,4,18019.87,.0038054,-.0000697,3.10e-07,-.0275674
1995,3,8,0,1,5,57.40436,.0292284,-.0006754,4.86e-06,-.3609881
1995,3,8,1,1,5,41.39636,.0134749,-.0003023,1.98e-06,-.1453356
1995,3,8,2,1,5,28.32023,.0035017,.0000394,-1.33e-06,-.076431
1995,3,8,3,1,5,13.87224,.0645882,-.0014798,.0000107,-.8565013
1995,3,8,4,1,5,14.22251,-.0378798,.001072,-9.24e-06,.4309365
1995,3,8,5,1,5,35.78535,-.0655088,.0017944,-.0000156,.7938213
1995,3,8,0,2,6,392.5956,-.022178,.0004911,-3.75e-06,.3697301
1995,3,8,1,2,6,295.6036,.010989,-.0002792,2.10e-06,-.0939381
1995,3,8,2,2,6,230.6798,.0058497,-.0000683,8.02e-09,-.0897856
1995,3,8,3,2,6,116.1278,-.0199967,.0006219,-5.86e-06,.218254
1995,3,8,4,2,6,40.77749,-.0696998,.0018168,-.0000153,.898367
1995,3,8,5,2,6,233.2147,-.1174256,.003061,-.0000254,1.458702
1995,1,9,0,1,1,102.3533,.00083,-.0000521,3.43e-07,.061135
1995,1,9,1,1,1,97.45974,-.0019322,.0000493,-5.40e-07,.0650552
1995,1,9,2,1,1,56.1951,.0148584,-.0002774,1.41e-06,-.2007879
1995,1,9,3,1,1,23.05174,.0389571,-.0009746,7.71e-06,-.4581224
1995,1,9,4,1,1,2.461121,.0264642,-.0002679,-8.11e-07,-.51078
1995,1,9,5,1,1,39.53318,-.0616941,.0017091,-.0000149,.7241639
1995,1,9,0,2,2,1009.647,-.0101558,.0002279,-1.84e-06,.189678
1995,1,9,1,2,2,791.5403,-.0122141,.0002736,-2.17e-06,.2196018
1995,1,9,2,2,2,752.8049,-.0024557,.0000707,-7.71e-07,.0671555
1995,1,9,3,2,2,576.9483,.0028871,.0000104,-7.08e-07,-.0502294
1995,1,9,4,2,2,58.53888,-.0120666,.0002744,-2.08e-06,.2071295
1995,1,9,5,2,2,599.4668,-.0408909,.0010952,-9.20e-06,.502863
1995,2,9,0,1,3,217.3637,-.0411081,.0009143,-6.80e-06,.6405167
1995,2,9,1,1,3,160.9996,-.0325334,.0007156,-5.31e-06,.5214531
1995,2,9,2,1,3,117.4878,-.0485169,.0011273,-8.67e-06,.7165509
1995,2,9,3,1,3,98.6483,-.0108605,.0002573,-2.06e-06,.1843842
1995,2,9,4,1,3,40.6306,-.0092277,.000137,-6.65e-07,.2186487
1995,2,9,5,1,3,314.3334,-.0342909,.0008509,-6.81e-06,.4733845
1995,2,9,0,2,4,1350.636,-.0362503,.0007981,-5.87e-06,.572503
1995,2,9,1,2,4,1001,-.0562975,.0012853,-9.69e-06,.8372955
1995,2,9,2,2,4,1197.512,-.0428707,.0009593,-7.12e-06,.658367
1995,2,9,3,2,4,849.3517,-.0250063,.0005622,-4.18e-06,.3937499
1995,2,9,4,2,4,314.3694,-.0660502,.0015019,-.0000112,.9757122
1995,2,9,5,2,4,4192.667,-.0226778,.0005847,-4.78e-06,.3060719
1995,1,10,0,1,1,57.56474,-.0013036,-.0000484,6.68e-07,.1157508
1995,1,10,1,1,1,24.13993,-.0332331,.0008109,-6.63e-06,.4873445
1995,1,10,2,1,1,19.44404,-.0364609,.0008992,-7.26e-06,.5130473
1995,1,10,3,1,1,16.36431,.0630806,-.001505,.0000114,-.8062345
1995,1,10,5,1,1,5.75948,.0366068,-.0008883,7.63e-06,-.5152154
1995,1,10,0,2,2,725.4353,.0165165,-.0004183,3.21e-06,-.1630181
1995,1,10,1,2,2,721.8601,.0096401,-.0002343,1.74e-06,-.0896881
1995,1,10,2,2,2,1343.556,.0157128,-.0003403,2.35e-06,-.2001932
1995,1,10,3,2,2,1267.636,.0132479,-.0002855,1.98e-06,-.1668032
1995,1,10,5,2,2,267.2405,.0236772,-.0005098,3.75e-06,-.3393308
1995,2,10,0,1,3,96.0903,.0042604,-.0001229,8.65e-07,.0038655
1995,2,10,1,1,3,115.1702,-.0239554,.0005662,-4.52e-06,.3707446
1995,2,10,2,1,3,121.2625,-.000789,.0000762,-1.13e-06,.0176615
1995,2,10,3,1,3,119.9266,.003328,.0000174,-8.55e-07,-.0689889
1995,2,10,5,1,3,20.0321,-.1448169,.0037063,-.0000302,1.825135
1995,2,10,0,2,4,660.9097,.0102725,-.0002614,1.92e-06,-.0819936
1995,2,10,1,2,4,730.8298,.0067732,-.0001242,5.28e-07,-.0698628
1995,2,10,2,2,4,1309.737,.0106947,-.0002055,1.12e-06,-.1343581
1995,2,10,3,2,4,806.0734,.0109306,-.0001952,9.93e-07,-.1521048
1995,2,10,5,2,4,159.9679,-.0228117,.0006473,-5.52e-06,.2613747
1995,3,10,0,1,5,68.25958,-.0249192,.0005864,-4.72e-06,.3907348
1995,3,10,1,1,5,41.68911,.0220079,-.000455,2.80e-06,-.2900428
1995,3,10,2,1,5,28.07418,-.015686,.0005685,-5.89e-06,.1385398
1995,3,10,3,1,5,23.95671,-.0567435,.0015941,-.0000141,.6647044
1995,3,10,4,1,5,1.435795,-.0795702,.0036939,-.000042,.1759047
1995,3,10,5,1,5,16.02954,-.1071674,.0028079,-.0000234,1.322539
1995,3,10,0,2,6,543.7404,-.0040609,.000052,-2.77e-07,.1264236
1995,3,10,1,2,6,399.3109,-.015534,.0003485,-2.68e-06,.2641781
1995,3,10,2,2,6,282.9258,.0032281,-.000034,-1.69e-07,-.0286772
1995,3,10,3,2,6,180.0433,-.0072342,.0002765,-2.93e-06,.0721215
1995,3,10,4,2,6,14.5642,.1077181,-.0028573,.000024,-1.204767
1995,3,10,5,2,6,106.9705,-.0214111,.0006772,-6.37e-06,.2189295
1995,1,11,0,1,1,541.8126,-.0247744,.0005278,-3.94e-06,.4268934
1995,1,11,1,1,1,465.9971,-.004413,.0000565,-3.76e-07,.1412814
1995,1,11,2,1,1,239.4542,-.0070376,.0001421,-1.13e-06,.1569044
1995,1,11,3,1,1,315.9177,-.0167524,.0004401,-3.80e-06,.2417496
1995,1,11,4,1,1,59.88115,-.0192504,.0005462,-5.08e-06,.2587819
1995,1,11,5,1,1,328.7082,-.0130782,.0004225,-4.11e-06,.1466204
1995,1,11,0,2,2,7122.187,-.0027017,.0000392,-3.25e-07,.0974038
1995,1,11,1,2,2,7277.003,.0040594,-.0001068,7.05e-07,-.0037394
1995,1,11,2,2,2,6354.546,.0049522,-.0000965,4.71e-07,-.0399281
1995,1,11,3,2,2,10928.08,.0057613,-.0001016,4.76e-07,-.0645801
1995,1,11,4,2,2,921.1189,-.0064519,.0001431,-1.23e-06,.1392197
1995,1,11,5,2,2,7828.292,.0058599,-.0000649,-7.75e-08,-.0893358
1995,2,11,0,1,3,968.4862,-.01599,.0003131,-2.21e-06,.3082461
