sample	newcode	beta1	beta2	beta3	beta4	beta5	beta6	beta7	beta8	beta9	sigma
99	33	.037441	-.020053999	.045974001	-.0004546	0	0	0	0	-.44955999	.19041
100	33	.037136	-.019383	.044907998	-.00044649999	0	0	0	0	-.45640001	.18970001
0	34	.045504998	.001686	.064676002	-.00061460002	-1.3575	-.11144	-1.2115999	-.028287999	-.89933002	.13699
1	34	.045499001	.001818	.064792998	-.00061440002	-1.3503	-.10803	-1.1854	-.026542	-.89906001	.13726
2	34	.045497	.0021371001	.063906997	-.00060590002	-1.3637	-.1093	-1.2525001	-.032230999	-.90911001	.13734999
3	34	.044810999	.0026493	.064557999	-.00061360002	-1.3521	-.1156	-1.1998	-.024393	-.90420002	.13693
4	34	.046549998	-.00020759999	.064162999	-.00060889998	-1.3608	-.11896	-1.2121	-.027098	-.91311997	.13709
5	34	.046158001	.0010988	.064542003	-.00061320001	-1.345	-.11287	-1.1973	-.029677	-.88455999	.13794
6	34	.045912001	.0017462	.064603999	-.00061350001	-1.3572	-.10762	-1.2197	-.032207001	-.90929002	.13733999
7	34	.045391999	.0020818999	.064361997	-.0006114	-1.3601	-.10932	-1.2023	-.025897	-.91035002	.13628
8	34	.045529999	.0018833	.064704001	-.00061490003	-1.3678	-.11052	-1.2104	-.027361	-.92000997	.13575999
9	34	.045333002	.0013166	.065488003	-.00062369998	-1.3619	-.1149	-1.2229	-.029037001	-.89986998	.13716
10	34	.045724999	.00095800002	.065387003	-.00062329997	-1.3568	-.11311	-1.2003	-.030057	-.89776999	.13731
11	34	.045499001	.0025208001	.065116003	-.0006198	-1.3503	-.11232	-1.2187001	-.029261	-.90100998	.13801999
12	34	.045561999	.0019212	.064770997	-.00061659998	-1.3498	-.1077	-1.2217	-.028426999	-.88426	.13749
13	34	.044436999	.0028570001	.065436997	-.00062419998	-1.3558	-.11026	-1.2075	-.028953999	-.90008003	.13714001
14	34	.046234999	.00051580003	.065251999	-.00062200002	-1.3654	-.11397	-1.1841	-.026387	-.90249997	.13637
15	34	.045010999	.0017523	.065095	-.0006189	-1.365	-.11265	-1.2286	-.029734001	-.89140999	.13673
16	34	.045216002	.0025450001	.064885996	-.00061719998	-1.3557	-.11253	-1.225	-.027099	-.89313	.13680001
17	34	.046916001	.00047090001	.065228999	-.00062080001	-1.3599	-.10841	-1.2323999	-.034697998	-.89989001	.1371
