sample	newcode	betay1	betay2	betay3	betay4	betay5	betay6	betay7	betay8	betay9	betay10	betay11	betay12
97	20	-2.0525999	-2.0585999	-2.0523	-2.0434999	-2.0651	-2.0465	-2.0367999	-2.0462999	-2.0437	-2.0295	-2.0339	-2.0232999
97	21	-2.0525999	-2.0597999	-2.0422001	-2.0183001	-2.0274	-2.0376999	-2.0248001	-2.0301001	-2.0413001	-2.0286	-2.0272999	-2.0071001
97	22	-.89432001	-.88783002	-.87897003	-.87883002	-.88395	-.87996	-.87677997	-.87651998	-.88885999	-.88857001	-.87831002	-.83923
97	23	-1.0522	-1.0517	-1.0700999	-1.0361	-1.0635999	-1.0567	-1.0572	-1.0413001	-1.0398999	-1.054	-1.0513999	-1.0157
97	24	-2.017	-1.9918	-1.9757	-1.9709001	-1.9647	-1.9668	-1.9454	-1.9338	-1.9259	-1.9282	-1.9021	-1.8652
97	25	-1.4971	-1.5002	-1.512	-1.5014	-1.522	-1.5379	-1.5436	-1.5359	-1.5597	-1.54	-1.5517	-1.4851
97	26	-.96627998	-.98628002	-.94756001	-.93308997	-.96082002	-.96416003	-.92776	-.90722001	-.89789999	-.87560999	-.86997998	-.85723001
97	27	-.51154	-.49549001	-.48337999	-.47477001	-.48776999	-.47543001	-.44689	-.45807001	-.48144999	-.48530999	-.50001001	-.48074001
97	28	-1.3161	-1.3502001	-1.3399	-1.3523	-1.3552001	-1.3509001	-1.3192	-1.3325	-1.3776	-1.4294	-1.3676	-1.3197
97	29	-.93330997	-.91803002	-.88404	-.85939997	-.86715001	-.83344001	-.79813999	-.81678998	-.82472003	-.82716	-.83257997	-.79900002
97	30	-.89551997	-.93048	-.90034997	-.89823997	-.90278	-.89256001	-.86987001	-.85360003	-.89801002	-.89025003	-.88958001	-.86066002
97	31	-1.4249001	-1.4521	-1.41	-1.4058	-1.4066	-1.3946	-1.3654	-1.3405	-1.3888	-1.3803	-1.3505	-1.3238
97	32	-1.022	-1.0469	-1.0137	-.99027997	-.99813002	-1.0013	-.97855997	-.97780001	-1.0066	-.94865	-.95242	-.97500998
97	33	-.93778998	-.92013001	-.89276999	-.88911003	-.88690001	-.88608998	-.84938997	-.84302998	-.82339001	-.81322002	-.81792998	-.80074
97	34	-1.6025	-1.6006	-1.5919	-1.594	-1.5904	-1.5809	-1.5726	-1.5646	-1.5447	-1.5254	-1.5138	-1.4978
97	35	-1.1927	-1.1766	-1.1533999	-1.1429	-1.1421	-1.1446	-1.1224	-1.1165	-1.1016999	-1.0932	-1.0843	-1.0726
97	36	-1.2482001	-1.2315	-1.2038	-1.2085	-1.2078	-1.2042	-1.1892999	-1.1869	-1.1671	-1.1693	-1.1611	-1.1451
97	37	-1.7198	-1.7341	-1.7134	-1.7264	-1.7211	-1.7214	-1.6900001	-1.6619999	-1.6584001	-1.6171	-1.5865999	-1.5526
97	38	-1.522	-1.5226001	-1.5027	-1.5131	-1.5251	-1.5314	-1.5106	-1.5101	-1.4959	-1.4624	-1.4443001	-1.4105
96	1	-.73484999	-.75779003	-.75664002	-.73341	-.75384003	-.75506002	-.7367	-.71596998	-.71472001	-.70528001	-.70551002	-.69648999
96	2	-.40052	-.41016001	-.39708	-.38308001	-.39837	-.37336001	-.35477	-.35793999	-.38841	-.36860001	-.37658	-.34619999
96	3	-.81089997	-.83574998	-.80962998	-.78680998	-.79392999	-.78173	-.76977003	-.76117003	-.79632002	-.78004998	-.78422999	-.75721002
96	4	-.88486999	-.91435999	-.88676	-.88507003	-.88624001	-.87840003	-.86984003	-.85642999	-.90779001	-.89067	-.89727998	-.86764002
96	5	-1.2325	-1.257	-1.2229	-1.2108999	-1.2155	-1.1898	-1.1786	-1.1748	-1.2192	-1.1827	-1.1774	-1.1378
96	6	-.86189002	-.83857	-.81597	-.81665999	-.80365998	-.8046	-.79188001	-.7992	-.78639001	-.76472998	-.74195999	-.72110999
96	7	-1.2265	-1.1977	-1.1891	-1.1512001	-1.1544	-1.1605999	-1.165	-1.1863	-1.1745	-1.149	-1.1264	-1.0832
96	8	-.85838997	-.86357999	-.86465001	-.85446	-.85079002	-.83476001	-.83519	-.84030998	-.85067999	-.82053	-.82428998	-.77802998
96	9	-1.1853	-1.1878	-1.1803	-1.1763999	-1.1909	-1.1981	-1.2076	-1.2234	-1.2217	-1.2243	-1.2273999	-1.1911
96	10	-1.1651	-1.1792001	-1.1589	-1.1698999	-1.1981	-1.2021	-1.1882	-1.1726	-1.1673	-1.1774	-1.1765	-1.1473
96	11	-.98369998	-.98400003	-.98356998	-.98633999	-.99220997	-.9932	-.98202997	-.97746998	-.97887999	-.98948002	-.99124002	-.95326
96	12	-.78775001	-.78959	-.78943998	-.77464002	-.78096002	-.78873003	-.76758999	-.74905002	-.74722999	-.75037003	-.76160002	-.69853002
96	13	-1.0211999	-.98787999	-1	-.99418002	-1.0052	-1.0077	-1.0045	-1.0168999	-1.007	-.98123997	-.97114998	-.92807001
96	14	-.99375999	-.97628999	-.97468001	-.97004998	-.99115002	-.98749	-.96490002	-.94322997	-.96744001	-.94727999	-.94708002	-.91495001
96	15	-.83408999	-.83318001	-.81493998	-.79228002	-.80414999	-.79602998	-.77724999	-.81032002	-.78746998	-.78609002	-.79321998	-.77196997
96	16	-1.4287	-1.4223	-1.4097	-1.39	-1.398	-1.3887	-1.373	-1.3710999	-1.3545001	-1.3665	-1.3295	-1.3009
96	17	-.82380003	-.83582002	-.80543	-.78588998	-.80523002	-.78499001	-.76937997	-.77930999	-.78890002	-.78750998	-.79029	-.76885998
96	18	-1.1097	-1.1093	-1.0869	-1.0871	-1.0967	-1.0888	-1.0851001	-1.0963	-1.1117001	-1.1076	-1.0822001	-1.0618
96	19	-1.4016	-1.395	-1.3751	-1.3624001	-1.3576	-1.3547	-1.3099	-1.3198	-1.3236001	-1.3224	-1.2857	-1.2625
96	20	-2.0599999	-2.0690999	-2.0687001	-2.0574999	-2.0834	-2.0631001	-2.0545001	-2.0648	-2.056	-2.0397999	-2.0480001	-2.0299001
96	21	-2.0906999	-2.0929999	-2.0776999	-2.0588	-2.0664999	-2.0747001	-2.0620999	-2.0701001	-2.0824001	-2.0668001	-2.0716	-2.0427001
96	22	-.90609998	-.89340001	-.88488001	-.88440001	-.89001	-.88501	-.88257998	-.88446999	-.8951	-.88905001	-.88625997	-.84274
96	23	-1.0962	-1.0857	-1.1160001	-1.08	-1.104	-1.1057	-1.1030999	-1.0931	-1.094	-1.0934	-1.0989	-1.0546
96	24	-1.9786	-1.9519	-1.9335999	-1.9285001	-1.9248	-1.9273	-1.9059	-1.8941	-1.885	-1.8877	-1.8667001	-1.825
96	25	-1.5181	-1.5177	-1.5349	-1.5339	-1.5474	-1.5716	-1.5716	-1.5733	-1.5926	-1.569	-1.5786999	-1.5163
96	26	-.93524998	-.95279002	-.91883999	-.91126001	-.93127	-.93294001	-.90934002	-.88216001	-.86717999	-.84955001	-.84061998	-.83310997
96	27	-.57145	-.56325001	-.54148	-.53121001	-.55878001	-.54576999	-.50616997	-.52354997	-.53473002	-.54882002	-.56190002	-.54205
96	28	-1.3138	-1.3475	-1.3338	-1.3466001	-1.3526	-1.3387001	-1.3181	-1.3221999	-1.3738	-1.4401	-1.3781	-1.3219
96	29	-.88933003	-.87634999	-.84851003	-.82020998	-.83964002	-.80052	-.76090002	-.78130001	-.78565001	-.78893	-.79815	-.77026999
