,edu,exp,id,mar,offer,owage,time,work
427,0,2,85,0,1,23769.1800456079,2,0
428,0,2,85,0,0,17175.634253043743,3,0
429,0,2,85,0,0,-inf,4,0
430,0,0,86,0,0,50660.72559718817,0,0
431,0,0,86,0,1,13859.067345068923,1,0
432,0,0,86,0,1,22492.467907546114,2,1
433,0,1,86,0,1,63374.67934861353,3,0
434,0,1,86,0,0,-inf,4,0
435,0,0,87,0,0,21748.96235974852,0,0
436,0,0,87,0,1,8099.504843681673,1,0
437,0,0,87,0,0,51716.274898201285,2,0
438,0,0,87,0,0,1995.2258681593173,3,0
439,0,0,87,0,0,-inf,4,0
440,0,0,88,0,0,39497.36951924432,0,0
441,0,0,88,0,0,20741.52165172074,1,0
442,0,0,88,0,0,9317.433360205674,2,0
443,0,0,88,0,0,6932.5196727074435,3,0
444,0,0,88,0,0,-inf,4,0
445,0,0,89,0,0,103137.25724527438,0,0
446,0,0,89,0,1,7856.642709979145,1,0
447,0,0,89,0,1,22676.47413848319,2,1
448,0,1,89,0,1,48592.84530436028,3,1
449,0,2,89,0,0,-inf,4,0
450,2,0,90,0,1,243612.22550726315,0,1
451,2,1,90,0,1,89411.7515422565,1,1
452,2,2,90,0,1,81631.06314387666,2,1
453,2,3,90,0,1,32859.19268671088,3,1
454,2,4,90,0,0,-inf,4,0
455,2,0,91,0,0,48186.78493031862,0,0
456,2,0,91,0,0,25823.986812797983,1,0
457,2,0,91,0,0,28343.640518208776,2,0
458,2,0,91,0,1,5527.089855921201,3,0
459,2,0,91,0,0,-inf,4,0
460,2,0,92,0,0,17216.63369103454,0,0
461,2,0,92,0,0,56918.259727157754,1,0
462,2,0,92,0,0,6078.10461042546,2,0
463,2,0,92,0,0,141721.18633107853,3,0
464,2,0,92,0,0,-inf,4,0
465,2,0,93,0,1,14703.2069228815,0,0
466,2,0,93,0,0,17549.801931005775,1,0
467,2,0,93,0,0,62968.26785170086,2,0
468,2,0,93,0,0,78288.11860384585,3,0
469,2,0,93,0,0,-inf,4,0
470,2,0,94,0,0,25814.69891442153,0,0
471,2,0,94,0,0,65336.87635426465,1,0
472,2,0,94,0,1,282163.9283925141,2,1
473,2,1,94,0,1,71889.13038184625,3,1
474,2,2,94,0,0,-inf,4,0
475,2,0,95,0,0,19751.733374632167,0,0
476,2,0,95,0,1,15599.859677489469,1,1
477,2,1,95,0,1,17639.04565845085,2,0
478,2,1,95,0,1,8542.107222463977,3,1
479,2,2,95,0,0,-inf,4,0
480,2,0,96,0,0,22446.495952765756,0,0
481,2,0,96,0,0,9783.072787069956,1,0
482,2,0,96,0,1,18090.216526426146,2,1
483,2,1,96,0,1,51180.38946491563,3,0
484,2,1,96,0,0,-inf,4,0
485,2,0,97,0,0,57081.82194926744,0,0
486,2,0,97,0,0,49915.85301810963,1,0
