sample	newcode	betay1	betay2	betay3	betay4	betay5	betay6	betay7	betay8	betay9	betay10	betay11	betay12
96	5	-1.2797	-1.3049001	-1.2765	-1.2663	-1.2701	-1.2442	-1.2316	-1.2236	-1.2672	-1.2272	-1.2244	-1.1897
96	6	-.86296999	-.84209001	-.81081998	-.81699002	-.80137998	-.79579002	-.78399003	-.79370999	-.77827001	-.75347	-.74015999	-.71157998
96	7	-1.1413	-1.1126	-1.1033	-1.0671999	-1.0671999	-1.071	-1.0749	-1.0966001	-1.0862	-1.0615	-1.0391999	-.99706
96	8	-.80634999	-.81279999	-.81327999	-.80087	-.79830003	-.78222001	-.78083003	-.78535998	-.79658002	-.76288003	-.76687002	-.72245002
96	9	-1.0865999	-1.0915	-1.0855	-1.0811	-1.0931	-1.1006	-1.1081001	-1.1210001	-1.1203001	-1.1232001	-1.1278	-1.0951
96	10	-1.1647	-1.1806999	-1.164	-1.1765	-1.2051001	-1.2092	-1.1937	-1.1792001	-1.1734	-1.1813	-1.1799001	-1.147
96	11	-.91387999	-.91834998	-.91794002	-.91991001	-.92609	-.92767	-.91583002	-.91136003	-.91058999	-.91988999	-.92377001	-.88782001
96	12	-.63284999	-.63396001	-.63564998	-.62076002	-.63281	-.64331001	-.61982	-.60329998	-.60196	-.60347003	-.61796999	-.55633003
96	13	-.94931	-.91677999	-.93160999	-.92339998	-.93571001	-.93827999	-.93384999	-.94752002	-.93651998	-.91052002	-.90131998	-.86256999
96	14	-.73724002	-.71899003	-.72215998	-.71916002	-.74075001	-.73914999	-.71543002	-.69488001	-.72166997	-.69277	-.69445002	-.66658998
96	15	-.76937997	-.76287001	-.74506003	-.71895999	-.73126	-.72262001	-.70371997	-.73588002	-.72242999	-.71257001	-.72175997	-.69946998
96	16	-1.4158	-1.4038	-1.3875999	-1.3681	-1.378	-1.3706	-1.3586	-1.3573	-1.3405	-1.3493	-1.3085001	-1.2797
96	17	-.78539002	-.79066998	-.76450998	-.73035002	-.75563002	-.73847997	-.71439999	-.72782999	-.74185997	-.73576999	-.74168998	-.72069001
96	18	-1.0209	-1.0236	-1.001	-1.001	-1.0107	-.99996001	-.99647999	-1.0084	-1.0214	-1.0158	-.98997998	-.97197002
96	19	-1.3573999	-1.3485	-1.3296	-1.3163	-1.3111	-1.3087	-1.2637	-1.2701	-1.2689	-1.2458	-1.2141	-1.1989
96	20	-1.8514	-1.8436	-1.8467	-1.8253	-1.8617001	-1.8474	-1.8246	-1.8344001	-1.8306	-1.8144	-1.8281	-1.8078001
96	21	-1.9342999	-1.9374	-1.9249001	-1.9052	-1.9126	-1.9208	-1.9065	-1.9136	-1.9272	-1.9099	-1.9131	-1.8877
96	22	-.83146	-.81563002	-.81277001	-.80519998	-.81351	-.81257999	-.81265002	-.81659001	-.82539999	-.81326002	-.80822003	-.76454997
96	23	-.98619998	-.97644001	-1.0078	-.95766002	-.98220003	-.98357999	-.98439002	-.97571999	-.97593999	-.97026002	-.97776997	-.9382
96	24	-1.9548	-1.9247	-1.9072	-1.8996	-1.8943	-1.8964	-1.8757	-1.863	-1.8533	-1.8514	-1.8286	-1.7893
96	25	-1.3441	-1.3454	-1.3667001	-1.3593	-1.3743	-1.3981	-1.402	-1.4033999	-1.4216	-1.3931	-1.4053	-1.3403
96	26	-.80199999	-.81751001	-.78934997	-.78608	-.80892998	-.81066	-.78833997	-.75962001	-.7403	-.72281998	-.71209002	-.70675999
96	27	-.67505002	-.67131001	-.65654999	-.64437002	-.67255998	-.65739	-.61633998	-.62856001	-.63880998	-.65082997	-.66399002	-.64503002
96	28	-1.3466001	-1.4058	-1.4131	-1.4387	-1.4583	-1.452	-1.4311	-1.4305	-1.4773999	-1.5378	-1.4704	-1.4114
96	29	-.99302	-.98883998	-.96651	-.94098997	-.95955002	-.91924	-.87291998	-.87286001	-.87329	-.88297999	-.89428997	-.86992002
96	30	-.85891002	-.90262002	-.88665003	-.89908999	-.89930999	-.89125001	-.86904001	-.81326997	-.86666	-.86379999	-.87502998	-.85298002
